,C,D,a,color,dataset,lambdaem,lambdaex,n,r0,r0_stderr,v,w0,w0_stderr
0,0.8289059999999999,419.01,0.522,B,BR00781,0.519,0.488,1.33,0.17329079401671504,0.00041492214543633254,1.4340425085774136,0.24573690179632218,0.0021731614556960567
1,0.8125,400.7,0.652,R,BR00781,0.657,0.633,1.33,0.22492746304795594,0.0011417079378544138,3.2789179971962814,0.3446590052405558,0.004552024475672863
2,1.6578119999999998,419.01,0.522,B,BR01562,0.519,0.488,1.33,0.1754027092010347,0.0003659533836021678,1.4414822518366537,0.24162531182447355,0.001992055048309252
3,1.625,400.7,0.652,R,BR01562,0.657,0.633,1.33,0.21243938130033566,0.00038970275922689394,3.0882354572789303,0.3530573720787288,0.0014607296504414087
4,3.315625,419.01,0.522,B,BR03125,0.519,0.488,1.33,0.17271768774567564,0.000483859539405206,1.4300805635373806,0.24643487974896938,0.002392825687183695
5,3.25,400.7,0.652,R,BR03125,0.657,0.633,1.33,0.20286039305914064,0.0005698801717895325,2.8870669205180817,0.35279717168345764,0.002113917113583273
6,6.63125,419.01,0.522,B,BR06250,0.519,0.488,1.33,0.1819097296203294,0.0007623351233761424,1.5618176694919679,0.24890907333168352,0.00372411697726153
7,6.5,400.7,0.652,R,BR06250,0.657,0.633,1.33,0.21595034179182374,0.0011953253127526442,3.2850541879294712,0.3661793314021307,0.004164178464110952
8,13.2625,419.01,0.522,B,BR12500,0.519,0.488,1.33,0.1716068231915196,0.001114100159051958,1.4576948466158406,0.25493865344980504,0.005006391421225341
9,13.0,400.7,0.652,R,BR12500,0.657,0.633,1.33,0.19051501469733623,0.0016772504812926452,2.785639604651927,0.36991461019482946,0.005575268992113298
